MES_REF,ID_PROD_UNID_FAT_PAI,COD_PROD_PAI,ID_PROD_UNID_FAT_FILHO,COD_PROD_FILHO,UNID_FILHO,QTD_PAI_FINAL,QTD_UTIL_EFETIVA,QTD_FILHO_ESTRUTURAL_ESPERADA_BRUTA,ESTOQUE_ESTRUTURAL_CONSUMIDO,QTD_FILHO_ESTRUTURAL_ESPERADA_LIQ,QTD_FILHO_ESTRUTURAL_ALOCADA,DIF,STATUS_FECHAMENTO
2026-08-01,AGO26|MATRIZ|1143,1143,AGO26|Nordeste|1143PI,1143PI,Nordeste,418.4422110552764,1.0,418.4422110552764,418.4422110552764,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|1143,1143,AGO26|Nordeste|1143PI,1143PI,Nordeste,7151.557788944723,1.0,7151.557788944723,7151.557788944723,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|1225,1225,AGO26|Nordeste|2936,2936,Nordeste,960.0458764188006,1.0350000000000001,993.6474820934587,993.6474820934587,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|1226,1226,AGO26|Nordeste|2936,2936,Nordeste,841.8170788032955,1.0139999999999998,853.6025179065415,853.6025179065415,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|1246,1246,AGO26|Nordeste|1246PI,1246PI,Nordeste,28569.0,1.0,28569.0,28569.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|1271,1271,AGO26|Nordeste|2356,2356,Nordeste,686.4053521883111,1.0,686.4053521883111,686.4053521883111,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|1271,1271,AGO26|Nordeste|2357,2357,Nordeste,686.4053521883111,1.0,686.4053521883111,686.4053521883111,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|1271,1271,AGO26|Nordeste|2354,2354,Nordeste,686.4053521883111,0.9063045375218151,622.0922852675259,622.0922852675259,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|1277,1277,AGO26|Nordeste|2356,2356,Nordeste,231.3076165756735,1.0,231.3076165756735,231.3076165756735,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|1277,1277,AGO26|Nordeste|2357,2357,Nordeste,231.3076165756735,1.0,231.3076165756735,231.3076165756735,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|1277,1277,AGO26|Nordeste|2354,2354,Nordeste,231.3076165756735,1.0,231.3076165756735,231.3076165756735,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|1325,1325,AGO26|Nordeste|2862,2862,Nordeste,1320.0,2.0,2640.0,2640.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|1326,1326,AGO26|Nordeste|2862,2862,Nordeste,4480.0,2.0,8960.0,8960.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|1327,1327,AGO26|Nordeste|2862,2862,Nordeste,4190.0,1.0,4190.0,4190.0,0.0,0.0,0.0,OK
